"urlid"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"NA"
4042	6.03444345652973e-05	6.0344434554538e-05	6.03444345612916e-05	0.915185142255517	6.03444345538226e-05	6.03444345523715e-05	6.03444345499501e-05	6.03444345623173e-05	6.03444345535436e-05	6.03444345601635e-05	6.03444345610585e-05	0.0842114133989084	0
8471	0.000122784447051267	0.000122784447035505	0.212232278839603	0.290539520571159	0.000122784447032352	0.0210647315153614	0.000122784447040067	0.000122784447046095	0.000122784447033492	0.000122784447041966	0.000122784447045125	0.475181193497552	1
1164	0.000240143972149553	0.000240143972136049	0.000240143972145636	0.000240143972153916	0.000240143972146525	0.526011328696965	0.000240143972144169	0.000240143972146216	0.000240143972136481	0.000240143972153021	0.471587231581555	0.000240143972167987	1
6684	0.000145109813661322	0.000145109813671922	0.000145109813663283	0.000145109813666821	0.000145109813669552	0.000145109813669953	0.000145109813652693	0.000145109813667203	0.00014510981366256	0.000145109813672873	0.592567326150874	0.405981575712468	1
9006	3.22136884382715e-05	0.0974502237060696	0.806758833927475	3.22136884366037e-05	3.22136884371053e-05	3.22136884385605e-05	3.22136884342646e-05	0.0081646145256142	3.22136884352308e-05	3.22136884353298e-05	3.22136884358879e-05	0.0873686183333496	0
7018	0.000171383608437835	0.000171383608402509	0.000171383608417897	0.000171383608432951	0.000171383608401469	0.000171383608409042	0.000171383608406475	0.000171383608415578	0.000171383608403628	0.000171383608414089	0.998114780307415	0.000171383608443658	0
8685	0.00036837907982973	0.820713066939829	0.000368379079821712	0.000368379079748426	0.000368379079731219	0.000368379079738898	0.000368379079711134	0.000368379079735378	0.000368379079713031	0.000368379079717737	0.00036837907978207	0.175603142262641	1
3402	0.00024744369494523	0.000247443694948976	0.0224650045813075	0.000247443694931596	0.000247443694892608	0.000247443694924673	0.000247443694918858	0.000247443694899707	0.00024744369491982	0.000247443694941093	0.679053936650894	0.296254065513476	0
477	0.000417502124990322	0.000417502125040555	0.0004175021249996	0.000417502124982501	0.00041750212492389	0.000417502124994472	0.000417502124918254	0.0515192009320909	0.000417502124926735	0.373552538222083	0.000417502124952676	0.571170741721097	1
6731	0.000126211112791031	0.000126211112800102	0.000126211112799036	0.000126211112793967	0.000126211112797479	0.000126211112792096	0.000126211112785491	0.781769483994711	0.000126211112789374	0.000126211112789595	0.000126211112797428	0.216968404877353	1
2293	0.000641087345198892	0.000641087345169901	0.000641087345300329	0.94770261471117	0.00064108734513656	0.000641087345139355	0.000641087345176219	0.000641087345152133	0.000641087345194635	0.0458865118368813	0.000641087345161147	0.000641087345319233	0
3651	0.550373032548729	0.00025048937284905	0.131290923851657	0.000250489372966895	0.0002504893728189	0.000250489372863957	0.000250489372909346	0.000250489372818486	0.000250489372856852	0.000250489372842589	0.000250489372837488	0.31608163924385	0
1917	0.000539177036383033	0.000539177036286349	0.000539177036348323	0.000539177036287628	0.000539177036362795	0.350746760067088	0.000539177036330139	0.000539177036375974	0.000539177036323688	0.000539177036389224	0.643861469569404	0.000539177036421006	1
1063	0.00325914919736828	0.00325914919837713	0.00325914919726058	0.12407259446823	0.00325914919733708	0.737100399436137	0.00325914919798668	0.00325914919768304	0.109494663316721	0.00325914919792898	0.00325914919756687	0.00325914919740262	1
2110	0.000111058413090686	0.0001110584130962	0.000111058413098668	0.00011105841309466	0.642770132537298	0.000111058413113687	0.000111058413090602	0.105090271500381	0.000111058413092362	0.000111058413098284	0.000111058413110952	0.251140070244435	0
5318	0.000346430928839426	0.670271051143926	0.000346430928847853	0.000346430928895337	0.000346430928808572	0.000346430928809268	0.00034643092884418	0.000346430928802388	0.00034643092882586	0.326264639567747	0.000346430928835736	0.000346430928817856	0
9842	0.000760942699169166	0.000760942699165138	0.673711084406188	0.000760942699375595	0.00076094269950517	0.000760942699459585	0.000760942699171813	0.000760942699393179	0.000760942699160423	0.000760942699183948	0.000760942699222332	0.318679488601005	0
3946	0.000631146221656024	0.698881119747875	0.262494657663953	0.000631146221575208	0.0329439065939437	0.000631146221624923	0.000631146221549967	0.000631146221577443	0.00063114622153769	0.000631146221576587	0.000631146221573419	0.000631146221556749	0
334	0.000235967274845953	0.000235967274841342	0.000235967274853305	0.00023596727485869	0.29070545155997	0.000235967274872919	0.000235967274842203	0.579577691775118	0.000235967274829826	0.000235967274841409	0.000235967274842711	0.127593151191284	1
271	0.000319257407527049	0.000319257407503572	0.000319257407517936	0.000319257407501542	0.000319257407515	0.054998787911224	0.000319257407469577	0.000319257407557843	0.000319257407466043	0.000319257407531023	0.732117398448067	0.210010496973119	1
6984	0.000435365390894048	0.000435365390897055	0.995210980700195	0.000435365390835543	0.000435365390843943	0.000435365390883356	0.000435365390890482	0.000435365390834587	0.000435365390955809	0.000435365390989707	0.000435365390926489	0.000435365390854304	0
