"final_urlid","X_data"
5865,0.665052949829341
782,0.373259272084908
6962,0.457006537288675
7640,0.337509060495967
3589,0.481161723788614
6719,0.448974499054653
3905,0.427876373792993
9841,0.721920040366351
7447,0.381805196839083
4776,0.427148427555336
2879,0.539854380882235
2620,0.493485359839181
10479,0.330915491963289
1105,0.387863419125334
1849,0.492252886872633
8286,0.538415413668885
8344,0.702098097064075
10486,0.747392733749112
8661,0.740270927108341
7188,0.401774139614846
1433,0.731983786504007
677,0.594830859325108
469,0.664937698874746
6988,0.349694732777562
8024,0.333331605615686
6896,0.41315990979067
9154,0.409674372242311
342,0.534618166973746
50,0.393484083332885
983,0.329109710174442
6933,0.40605656490644
8271,0.339882633109829
5602,0.381590358788826
4505,0.388839484100195
4966,0.72700713471839
2390,0.382199382465792
6736,0.484941068609688
4660,0.701973032530129
7560,0.654349403884753
3840,0.518212513948474
5823,0.658047032932971
5789,0.71621992699606
1595,0.369308432402289
6770,0.602066516238732
3522,0.699189684251815
5584,0.630507667735608
8323,0.670661649512414
3862,0.553098243251701
373,0.389864826490476
7345,0.406252486964269
7708,0.689275315995693
1398,0.671017880205483
4298,0.393328958936039
7467,0.310704811062726
1878,0.652473006392238
1832,0.425186189187997
625,0.448168950883046
7438,0.381476392157252
9961,0.699355207835401
7117,0.367660639821463
8190,0.386609388650732
1713,0.609309628148173
949,0.380430746766161
9246,0.351308703052258
2326,0.386872707721164
8942,0.350201915817962
4458,0.53375550614453
4659,0.481362782505494
9522,0.401985673522613
2497,0.6728880300242
9836,0.453139891912009
3808,0.716652070450585
5575,0.713202038845296
5714,0.433122992973819
2490,0.672994696068749
6812,0.447122212029321
4335,0.352480349753945
10014,0.724214423850838
5889,0.60650519587981
482,0.701366605136449
8082,0.339351987467693
5856,0.694351764849211
8866,0.466995679041874
2624,0.736760749144274
1371,0.644714990390618
4436,0.349791191631002
2972,0.708390710818603
3638,0.634451449978831
6249,0.52385654797492
7602,0.360305942982545
9624,0.716486716645551
7567,0.395851219590726
6578,0.41793968312632
7590,0.613488797762836
8590,0.672692328287858
10520,0.613586513515211
1906,0.472075113482978
1373,0.374410569855221
1601,0.708356617595411
4754,0.393105823929114
8208,0.374098789935272
1658,0.712896096039759
1352,0.723730294177891
8143,0.684043433043219
7760,0.545623604572063
7836,0.502027477101415
9769,0.419976561234339
503,0.602520037311334
4909,0.368051960045561
7162,0.40045008915971
10035,0.556934060349113
1992,0.515026255780388
6133,0.396877563521864
8519,0.400873926004571
1879,0.4755817747023
7107,0.463453366484772
1225,0.554574438903879
2451,0.608808563267141
8252,0.337766139364253
9214,0.573197598300554
4850,0.709710441406127
5891,0.344925438234939
5274,0.466271864212687
8623,0.300506973224006
562,0.675395291227954
860,0.428334797822536
4199,0.699085454020325
7616,0.400626695047272
10544,0.463721135447396
1567,0.690904686542089
6552,0.388913548658513
954,0.375952220269818
111,0.429512866502788
7036,0.572950859114773
1995,0.714132508525246
7095,0.401046443371059
10180,0.524658967556957
6872,0.70012366013303
4805,0.708157535126778
355,0.607818598011581
8097,0.725864553382832
9271,0.701392120857123
431,0.447142255934586
1646,0.515795769400956
143,0.707658032074991
3436,0.382460499165214
150,0.570686818977327
9745,0.3648798060713
715,0.39762530209416
578,0.408428253604012
